pgc objname RA DEC incl vrot diameter distance Distance+Extinction "distance reference" "Reference type" Mass "SFR W4" "SFR FUV" "SFR NUV"
72263 NGC7743 23.7392028 9.9340278 37.1 113.05 0.04353602257332011 18.689599716514916 18.090059695782074 20.258169174194336 "Tully Fisher" 24378221857.8768 0.4564259451557594 0.0022159261957080283 0.015010869435571105
26018 NGC2748 9.2286194 76.4753333 68.13 139.02 0.04333599271942121 17.55496629621235 16.862423794527842 18.138437271118164 "Tully Fisher" 13368287085.217012 0.8593095332354894 0.09524799245491028 0.23237676317000205
34030 NGC3556 11.1919267 55.6742681 67.53 153.18 0.06635119509224956 9.831052152817696 9.596657603342269 9.132715225219727 "Tully Fisher" 18735729889.608707 1.3103380041575696 0.13336747796922335 0.21853292035903626
35164 NGC3675 11.4356183 43.5864893 59.52 221.2 0.09836684669530736 17.881337486902176 17.430104866194988 17.084409713745117 "Tully Fisher" 66631645076.60744 1.5875718729518427 0.09121103677245183 0.1978035746367954
38302 NGC4088 12.0927538 50.5388391 71.34 167.3 0.09137949415347564 14.70279831982834 14.305399808200656 13.633270263671875 "Tully Fisher" 29030936138.085926 2.3176990322410638 0.2028816020640388 0.36460101776795906
54117 NGC5879 15.1629868 57.0001722 72.67 127.98 0.06321916416228031 16.16590416954469 15.318632591791866 16.850000381469727 "Tully Fisher" 10633494481.124084 0.34914434705762243 0.09024032935596368 0.14312249075568714
25640 NGC2742 9.12599 60.479436 60.67 153.55 0.04773629949844302 20.873727039105493 20.090002925958803 20.730037689208984 "Tully Fisher" 16933778365.13857 0.9240339088861114 0.20040836704452694 0.4414372720906663
31883 NGC3338 10.7020945 13.7469894 56.44 186.73 0.020504479513539696 23.29163630213965 14.762503038144029 22.94034194946289 "Tully Fisher" 32794260328.019833 0.7638078022756614 0.282158030330032 0.60615068791282
65086 NGC6951 20.6205788 66.1056815 50.84 182.94 0.0531922975850127 20.912213301552878 20.42020040676894 21.39932632446289 snI 83497515526.76865 2.7988383414975666 0.3080306993658651 0.6287965260781512
36243 NGC3810 11.6829894 11.471119 48.22 152.78 0.05582757319297126 15.079953418017894 14.724481136705643 15.296783447265625 "Tully Fisher" 19750679312.28083 1.4238428750027705 0.31439871079793347 0.5425401340089478
32192 NGC3368 10.7793605 11.8199234 51.07 202.18 0.13767299159619648 9.794899854086982 9.44104352897013 10.37051010131836 Cepheid 31673416229.37899 0.35986538865718853 0.04753057077228655 0.09159578424752504
40692 NGC4414 12.4408628 31.2235137 56.58 217.46 0.032497409995967425 16.649454157952743 16.479347052046695 17.45018196105957 Cepheid 55644835100.43477 2.7172246471243984 0.19562714288093094 0.40915035683106965
39393 NGC4237 12.2865065 15.3239034 51.75 137.92 0.03646269373249255 19.59746962558716 19.315235160837975 18.62944984436035 "Tully Fisher" 15474895968.586454 0.5386139853649076 0.061558405159268755 0.1426674119129013
43451 NGC4725 12.840725 25.50075 45.39 257.27 0.16175166120758164 12.055910077295337 11.833139924744607 12.184288024902344 Cepheid 42434212017.23145 0.4618820492781044 0.1326576611795278 0.16290493606722034
32007 NGC3351 10.7326945 11.7036846 54.64 150.68 0.12046163393369504 9.931160484209336 8.258477692064487 9.858253479003906 Cepheid 20845800580.548668 1.031516847668459 0.09234058070987405 0.17893704179194658
58827 NGC6207 16.7177046 36.832321 64.65 114.85 0.057656562971020314 15.38863149819955 14.475714197813357 15.725337028503418 "Tully Fisher" 8157358714.263436 0.4733579856138766 nan 0.24915167484057318
15018 NGC1530 4.3908611 75.2955556 58.34 169.11 0.030328347643499724 19.107329810428716 18.322300431166372 19.706064224243164 "Tully Fisher" 26386467572.097176 1.3883297985901968 0.16553549828569808 0.22958249316699464
9788 NGC0972 2.5703833 29.3112222 65.82 147.58 0.05518852024709852 14.682499678319857 13.375191229856075 14.608311653137207 "Tully Fisher" 28756871514.622208 2.4877327218557994 nan 1.037284284460064
27077 NGC2903 9.5361368 21.5015656 67.09 189.0 0.19899801741071219 9.315367652385742 9.114230337446743 8.953648567199707 TRGB 41676010081.235085 2.2524323162030075 0.3009318363361799 0.5102931701312616
34695 NGC3627 11.3375023 12.9916041 67.51 174.7 0.17133604968774557 11.455129414455367 10.887295234711505 9.90375804901123 Cepheid 82559257931.24634 3.614678157551361 0.37879209030123334 0.7290615320224233
43495 NGC4736 12.8480832 41.1203028 31.77 181.59 0.12907696630041982 4.385306977749858 3.92120908338834 4.3052659034729 TRGB 19529579251.423336 0.37432930525655217 0.11394658169833774 0.16864320757412204
46153 NGC5055 13.2636931 42.0292782 54.87 218.13 0.19717359262086076 9.036494737223018 8.23720738146557 8.83079719543457 TRGB 49885054308.35973 1.7299658214170088 0.2104722599371558 0.5571489158895803
44182 NGC4826 12.9454673 21.6821044 63.99 152.12 0.17532697897053706 4.407577932415364 4.3209575526721 4.3052659034729 TRGB 14796818003.143066 0.18143636260087634 0.023793548641839544 0.049931002719338
39950 NGC4298 12.3591155 14.6060549 58.4 190.18 0.042252143841631784 16.641788566165854 16.065712837113523 14.521114349365234 TRGB 34683191843.22646 1.0916255051305088 0.10378176218288872 0.21243941268387032
42734 NGC4636 12.7137976 2.6887035 64.54 240.61 0.10588848864195727 14.04753102696877 13.455504939324324 14.628506660461426 "Tully Fisher" 52381383215.917336 0.681888836140993 0.009905936792016623 0.022075688864246844
8631 NGC0864 2.2576586 6.0022245 47.58 134.02 0.06206528437576142 14.791083881682088 14.401906928808556 15.296783447265625 "Tully Fisher" 13763734039.572424 0.40809059250139323 0.16738521934724024 0.3243237236461282
47404 NGC5194 13.4979698 47.195151 32.6 133.62 0.22848029436080894 8.578275698828092 8.09841447325789 8.356032371520996 TRGB 52440574550.78733 3.790678406076409 0.7993652279272515 1.5503878826214816
56219 NGC6015 15.8570152 62.3100354 65.71 146.98 0.09679406958688536 16.958990621092465 16.596633359988502 17.807382583618164 "Tully Fisher" 16569527157.06731 0.509197204300865 0.2107710811365852 0.36665945620325147
36266 NGC3813 11.6885152 36.5467683 57.6 157.36 0.035306018920808376 21.527817347243715 21.08919487802414 21.807212829589844 "Tully Fisher" 20655772168.84184 1.4227775486217775 0.220750791682356 0.36953834450064116
51953 NGC5665 14.5404878 8.0785656 53.13 130.31 0.03139415149149667 17.418068733916126 16.85543635283498 17.084409713745117 "Tully Fisher" 6347663858.182389 0.7673588985985326 0.09573968580704428 0.1614082998857284
