objname ra dec cutout_size E_B_V_SandF mean_E_B_V_SandF stdev_E_B_V_SandF max_E_B_V_SandF min_E_B_V_SandF AV_SandF E_B_V_SFD mean_E_B_V_SFD stdev_E_B_V_SFD max_E_B_V_SFD min_E_B_V_SFD AV_SFD errmsg
NGC3389 162.11634 12.53331 5.0 0.0233 0.0234 0.0002 0.0237 0.0228 0.0724 0.0271 0.0272 0.0002 0.0275 0.0265 0.0842 ""
NGC3486 165.09956 28.97511 5.0 0.0186 0.0188 0.0005 0.02 0.0181 0.0577 0.0216 0.0218 0.0005 0.0233 0.0211 0.0671 ""
NGC3686 171.93327 17.22419 5.0 0.0209 0.0209 0.0004 0.0216 0.0201 0.0648 0.0243 0.0243 0.0004 0.0252 0.0233 0.0753 ""
NGC3733 173.75687 54.85059 5.0 0.0133 0.0127 0.0015 0.0149 0.0098 0.0411 0.0154 0.0148 0.0017 0.0174 0.0114 0.0478 ""
NGC3756 174.20006 54.29359 5.0 0.0098 0.0098 0.0004 0.011 0.0088 0.0304 0.0114 0.0114 0.0005 0.0127 0.0102 0.0353 ""
NGC3928 177.94844 48.68324 5.0 0.0168 0.0166 0.0004 0.0171 0.0154 0.052 0.0195 0.0193 0.0005 0.0199 0.0179 0.0604 ""
NGC4116 181.90469 2.69074 5.0 0.0187 0.0189 0.0007 0.0209 0.0179 0.0581 0.0218 0.022 0.0008 0.0243 0.0208 0.0676 ""
NGC5195 202.49808 47.26617 5.0 0.0306 0.0299 0.0008 0.0312 0.0273 0.0949 0.0356 0.0348 0.0009 0.0363 0.0317 0.1103 ""
NGC5523 213.71814 25.31769 5.0 0.0163 0.0163 0.0002 0.0167 0.0158 0.0506 0.019 0.019 0.0003 0.0195 0.0183 0.0588 ""
NGC7497 347.26427 18.17756 5.0 0.1557 0.1494 0.0145 0.167 0.1117 0.4828 0.1811 0.1737 0.0169 0.1942 0.1299 0.5613 ""
NGC3729 173.45573 53.12555 5.0 0.0098 0.0098 0.0004 0.0107 0.0089 0.0304 0.0114 0.0114 0.0005 0.0124 0.0103 0.0353 ""
NGC4274 184.96082 29.6147 5.0 0.0193 0.0194 0.0001 0.02 0.0192 0.0598 0.0224 0.0225 0.0002 0.0232 0.0223 0.0695 ""
NGC5669 218.18283 9.89181 5.0 0.0234 0.0234 0.0002 0.0238 0.0229 0.0724 0.0272 0.0272 0.0002 0.0277 0.0266 0.0842 ""
NGC7743 356.08812 9.9342 5.0 0.0588 0.0594 0.0029 0.065 0.0534 0.1821 0.0683 0.0691 0.0033 0.0756 0.062 0.2118 ""
NGC3032 148.03396 29.23622 5.0 0.0144 0.0143 0.0003 0.0148 0.0135 0.0446 0.0167 0.0167 0.0003 0.0173 0.0157 0.0519 ""
