pgc objname RA DEC incl vrot diameter distance Distance+Extinction "distance reference" "Reference type" Mass "SFR W4" "SFR FUV" "SFR NUV"
37132 NGC3930 11.8627348 38.0149491 43.01 96.87 0.0443454176633135 13.115957477555467 11.676696709754165 12.094836235046387 "Tully Fisher" 1059020330.2978759 0.1328528454878959 0.004452907312266214 0.0011074680911020015
40342 NGC4356 12.404061 8.53638 71.44 110.99 0.033484880210145465 15.900105282148656 15.578297738920334 16.165897369384766 "Tully Fisher" 4111959219.7202716 0.16368228516907418 0.0009089922857149263 0.007123019572543904
51846 NGC5645 14.5109317 7.2750892 58.58 108.98 0.033639439394692675 14.914201280943974 14.52914305893654 15.017577171325684 "Tully Fisher" 3600509649.540226 0.15707297870383327 0.08078648470240123 0.1508431676269569
35676 NGC3726 11.5558806 47.0290833 50.47 156.07 0.0941561624687171 13.440022630821629 13.111126270244489 13.20079517364502 "Tully Fisher" 14299447069.046679 0.5893041641341326 0.2434923831609258 0.34592216952048527
36875 NGC3893 11.8106075 48.7107662 59.88 148.07 0.044858913398781924 18.197008586099845 15.867189189515758 16.390792846679688 "Tully Fisher" 27430730340.184345 1.8479647199083629 0.48120776230595647 0.8537377741384289
37290 NGC3949 11.8949228 47.8587682 56.03 144.62 0.0376572628370163 18.569491014904624 18.037651840625628 17.97215461730957 "Tully Fisher" 16872693992.888224 1.132431993075786 0.4794003293732842 0.721594299789377
38392 NGC4102 12.1065433 52.7109722 58.66 158.02 0.04952776719563378 18.25576346188067 17.42368456099004 18.475662231445312 "Tully Fisher" 35938748993.40946 7.16386800717018 0.06571739666850945 0.13630238410645154
1160 NGC0063 0.2959778 11.4503333 74.09 122.09 0.028631806452626474 18.509726429316476 17.66769933818158 18.247356414794922 "Tully Fisher" 11882212213.911537 0.6257740853258625 0.03265830553995578 0.07244563447021891
41934 NGC4548 12.5906909 14.4960731 36.86 177.6 0.09243761882631846 15.624279522764855 15.135612484362087 15.98820972442627 Cepheid 32189009050.81737 0.42432266146181047 0.04967150438524818 0.08305743578178573
42168 NGC4579 12.6287586 11.8181349 41.86 249.53 0.08353120560454537 19.91590289057611 19.036188648350663 19.186697006225586 "Tully Fisher" 100615205875.34447 1.761928649510438 0.21146920000394293 0.39473312563712326
43254 NGC4698 12.8063737 8.4874421 73.56 203.04 0.06351097056562884 21.87761623949552 21.194345025824582 23.801258087158203 "Tully Fisher" 62561199698.52669 0.4702596284245319 0.01549195439277648 0.07955845078535329
44086 NGC4808 12.9302658 4.3041769 69.21 126.22 0.039341303886342945 17.426091898259298 16.907523510523536 17.322084426879883 "Tully Fisher" 11660654781.692669 0.863142158324925 0.17061117939928727 0.27223771544760456
